saves/mu-t5-6/best_010_00210.dat vs saves/mu-t5-6/best_020_00500.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_065_01370.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_075_01580.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_085_01740.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_095_01870.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_105_01980.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_115_02110.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_125_02210.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_135_02310.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_145_02410.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_155_02510.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_165_02640.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_175_02910.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_185_03120.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_005_00100.dat vs saves/mu-t5-6/best_195_03380.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_010_00210.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_020_00500.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_030_00650.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_040_00790.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_050_01070.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_060_01210.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_070_01480.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_080_01690.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_090_01800.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_100_01930.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_110_02050.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_120_02160.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_130_02260.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_140_02360.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_150_02460.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_160_02560.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_170_02840.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_180_03040.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_190_03240.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_005_00100.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_025_00560.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_035_00710.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_045_00960.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_055_01140.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_065_01370.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_075_01580.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_085_01740.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_095_01870.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_105_01980.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_115_02110.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_125_02210.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_135_02310.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_145_02410.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_155_02510.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_165_02640.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_175_02910.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_185_03120.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_015_00260.dat vs saves/mu-t5-6/best_195_03380.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_010_00210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_020_00500.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_030_00650.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_040_00790.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_050_01070.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_060_01210.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_070_01480.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_080_01690.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_090_01800.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_100_01930.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_110_02050.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_120_02160.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_130_02260.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_140_02360.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_150_02460.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_160_02560.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_170_02840.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_180_03040.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_190_03240.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_005_00100.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_015_00260.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_035_00710.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_045_00960.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_055_01140.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_065_01370.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_075_01580.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_085_01740.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_095_01870.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_105_01980.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_115_02110.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_125_02210.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_135_02310.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_145_02410.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_155_02510.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_165_02640.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_175_02910.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_185_03120.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_025_00560.dat vs saves/mu-t5-6/best_195_03380.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_010_00210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_020_00500.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_030_00650.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_040_00790.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_050_01070.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_060_01210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_070_01480.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_080_01690.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_090_01800.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_100_01930.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_110_02050.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_120_02160.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_130_02260.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_140_02360.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_150_02460.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_160_02560.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_170_02840.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_180_03040.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_190_03240.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_005_00100.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_015_00260.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_025_00560.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_045_00960.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_055_01140.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_065_01370.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_075_01580.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_085_01740.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_095_01870.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_105_01980.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_115_02110.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_125_02210.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_135_02310.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_145_02410.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_155_02510.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_165_02640.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_175_02910.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_185_03120.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_035_00710.dat vs saves/mu-t5-6/best_195_03380.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_010_00210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_020_00500.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_030_00650.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_040_00790.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_050_01070.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_060_01210.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_070_01480.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_080_01690.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_090_01800.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_100_01930.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_110_02050.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_120_02160.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_130_02260.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_140_02360.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_150_02460.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_160_02560.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_170_02840.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_180_03040.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_190_03240.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_005_00100.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_015_00260.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_025_00560.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_035_00710.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_055_01140.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_065_01370.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_075_01580.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_085_01740.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_095_01870.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_105_01980.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_115_02110.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_125_02210.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_135_02310.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_145_02410.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_155_02510.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_165_02640.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_175_02910.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_185_03120.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_045_00960.dat vs saves/mu-t5-6/best_195_03380.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_010_00210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_020_00500.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_030_00650.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_040_00790.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_050_01070.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_060_01210.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_070_01480.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_080_01690.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_090_01800.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_100_01930.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_110_02050.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_120_02160.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_130_02260.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_140_02360.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_150_02460.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_160_02560.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_170_02840.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_180_03040.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_190_03240.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_005_00100.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_015_00260.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_025_00560.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_035_00710.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_045_00960.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_065_01370.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_075_01580.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_085_01740.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_095_01870.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_105_01980.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_115_02110.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_125_02210.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_135_02310.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_145_02410.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_155_02510.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_165_02640.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_175_02910.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_185_03120.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_055_01140.dat vs saves/mu-t5-6/best_195_03380.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_010_00210.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_020_00500.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_030_00650.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_040_00790.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_050_01070.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_060_01210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_070_01480.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_080_01690.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_090_01800.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_100_01930.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_110_02050.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_120_02160.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_130_02260.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_140_02360.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_150_02460.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_160_02560.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_170_02840.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_180_03040.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_190_03240.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_005_00100.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_015_00260.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_025_00560.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_035_00710.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_045_00960.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_055_01140.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_075_01580.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_085_01740.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_095_01870.dat -> w=4, l=1, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_105_01980.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_115_02110.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_125_02210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_135_02310.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_145_02410.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_155_02510.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_165_02640.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_175_02910.dat -> w=5, l=0, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_185_03120.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_065_01370.dat vs saves/mu-t5-6/best_195_03380.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_010_00210.dat -> w=0, l=5, d=0
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_020_00500.dat -> w=1, l=4, d=0
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_030_00650.dat -> w=2, l=3, d=0
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_040_00790.dat -> w=1, l=3, d=1
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_050_01070.dat -> w=3, l=2, d=0
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_060_01210.dat -> w=2, l=2, d=1
saves/mu-t5-6/best_075_01580.dat vs saves/mu-t5-6/best_070_01480.dat -> w=1, l=4, d=0
